nohup: ignoring input
wandb: Appending key for api.wandb.ai to your netrc file: /home/navarro/.netrc
wandb: Currently logged in as: luismedrano2000 (luismedrano2000-university-of-zaragoza) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.19.11
wandb: Run data is saved locally in /home/navarro/FM-3D-Turbulence/wandb/run-20250522_171202-q1f6g7pk
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run wobbly-darkness-151
wandb: ⭐️ View project at https://wandb.ai/luismedrano2000-university-of-zaragoza/fm
wandb: 🚀 View run at https://wandb.ai/luismedrano2000-university-of-zaragoza/fm/runs/q1f6g7pk
Loading config...
cuda:3
Loading dataset...
N_time: 100, N_channels: 4, Nx: 128, Ny: 128, Nz: 128
Data mean: tensor([ 0.0244, -0.4655, -0.2085, -0.0685]), std: tensor([0.5439, 0.5585, 0.7061, 0.3694])
Velocity shape: torch.Size([100, 3, 128, 128, 128])
Pressure shape: torch.Size([100, 1, 128, 128, 128])
Vorticity shape: torch.Size([100, 3, 128, 128, 128])
Vorticity magnitude shape: torch.Size([100, 1, 128, 128, 128])
Velocity mean: tensor([ 0.0244, -0.4655, -0.2085]), std: tensor([0.5439, 0.5585, 0.7061])
Pressure mean: tensor([-0.0685]), std: tensor([0.3694])
Vorticity mean: tensor([-0.0026,  0.0051,  0.0053]), std: tensor([0.0830, 0.0897, 0.0814])
Vorticity magnitude mean: tensor([0.1137]), std: tensor([0.0932])
Starting training...
Epoch [94/1000], Loss: 0.0012, Validation Loss: 0.0570
Epoch [95/1000], Loss: 0.0013, Validation Loss: 0.0329
Epoch [96/1000], Loss: 0.0026, Validation Loss: 0.0294
Epoch [97/1000], Loss: 0.0015, Validation Loss: 0.0257
Epoch [98/1000], Loss: 0.0013, Validation Loss: 0.1007
Epoch [99/1000], Loss: 0.0143, Validation Loss: 0.0282
Saved checkpoint: runs/080/epoch_100_0.0017_0.0529.pth
Epoch [100/1000], Loss: 0.0017, Validation Loss: 0.0529
Epoch [101/1000], Loss: 0.0020, Validation Loss: 0.0316
Epoch [102/1000], Loss: 0.0012, Validation Loss: 0.0262
Epoch [103/1000], Loss: 0.0012, Validation Loss: 0.0316
Epoch [104/1000], Loss: 0.0019, Validation Loss: 0.0269
Epoch [105/1000], Loss: 0.0014, Validation Loss: 0.0219
Epoch [106/1000], Loss: 0.0013, Validation Loss: 0.0497
Epoch [107/1000], Loss: 0.0013, Validation Loss: 0.0334
Epoch [108/1000], Loss: 0.0012, Validation Loss: 0.0609
Epoch [109/1000], Loss: 0.0016, Validation Loss: 0.0262
Saved checkpoint: runs/080/epoch_110_0.0012_0.0260.pth
Epoch [110/1000], Loss: 0.0012, Validation Loss: 0.0260
Epoch [111/1000], Loss: 0.0015, Validation Loss: 0.0310
Epoch [112/1000], Loss: 0.0042, Validation Loss: 0.0475
Epoch [113/1000], Loss: 0.0053, Validation Loss: 0.0380
Epoch [114/1000], Loss: 0.0012, Validation Loss: 0.0401
Epoch [115/1000], Loss: 0.0018, Validation Loss: 0.0265
Epoch [116/1000], Loss: 0.0017, Validation Loss: 0.0278
Epoch [117/1000], Loss: 0.0012, Validation Loss: 0.0284
Epoch [118/1000], Loss: 0.0023, Validation Loss: 0.0279
Epoch [119/1000], Loss: 0.0023, Validation Loss: 0.1002
Saved checkpoint: runs/080/epoch_120_0.0012_0.0454.pth
Epoch [120/1000], Loss: 0.0012, Validation Loss: 0.0454
Epoch [121/1000], Loss: 0.0012, Validation Loss: 0.0408
Epoch [122/1000], Loss: 0.0053, Validation Loss: 0.0246
Epoch [123/1000], Loss: 0.0012, Validation Loss: 0.0305
Epoch [124/1000], Loss: 0.0021, Validation Loss: 0.0377
Epoch [125/1000], Loss: 0.0011, Validation Loss: 0.0280
Epoch [126/1000], Loss: 0.0012, Validation Loss: 0.0225
Epoch [127/1000], Loss: 0.0012, Validation Loss: 0.0230
Epoch [128/1000], Loss: 0.0011, Validation Loss: 0.0309
Epoch [129/1000], Loss: 0.0011, Validation Loss: 0.0796
Saved checkpoint: runs/080/epoch_130_0.0012_0.0271.pth
Epoch [130/1000], Loss: 0.0012, Validation Loss: 0.0271
Epoch [131/1000], Loss: 0.0011, Validation Loss: 0.0514
Epoch [132/1000], Loss: 0.0011, Validation Loss: 0.0364
Epoch [133/1000], Loss: 0.0011, Validation Loss: 0.0276
Epoch [134/1000], Loss: 0.0011, Validation Loss: 0.0256
Epoch [135/1000], Loss: 0.0011, Validation Loss: 0.0269
Epoch [136/1000], Loss: 0.0011, Validation Loss: 0.0209
Epoch [137/1000], Loss: 0.0019, Validation Loss: 0.0290
Epoch [138/1000], Loss: 0.0011, Validation Loss: 0.0736
Epoch [139/1000], Loss: 0.0011, Validation Loss: 0.0313
Saved checkpoint: runs/080/epoch_140_0.0011_0.0442.pth
Epoch [140/1000], Loss: 0.0011, Validation Loss: 0.0442
Epoch [141/1000], Loss: 0.0014, Validation Loss: 0.0344
Epoch [142/1000], Loss: 0.0013, Validation Loss: 0.0224
